0,1,2,3,4,5,6,7,Class
-59.0,-55.0,-64.0,-66.0,-55.0,-53.0,-56.0,-55.0,3
-59.0,-56.0,-61.0,-66.0,-56.0,-52.0,-57.0,-57.0,3
-60.0,-55.0,-65.0,-66.0,-56.0,-54.0,-58.0,-57.0,3
-59.0,-64.0,-58.0,-60.0,-66.0,-64.0,-65.0,-52.0,3
-62.0,-69.0,-57.0,-60.0,-67.0,-65.0,-64.0,-49.0,4
-63.0,-68.0,-59.0,-60.0,-70.0,-56.0,-63.0,-51.0,4
-63.0,-69.0,-56.0,-59.0,-74.0,-60.0,-63.0,-50.0,4
-63.0,-67.0,-58.0,-56.0,-67.0,-57.0,-63.0,-49.0,4
-61.0,-67.0,-59.0,-59.0,-67.0,-58.0,-60.0,-51.0,4
-61.0,-75.0,-58.0,-57.0,-66.0,-56.0,-63.0,-47.0,4
-62.0,-70.0,-60.0,-57.0,-79.0,-63.0,-63.0,-44.0,4
-61.0,-70.0,-59.0,-57.0,-68.0,-60.0,-66.0,-45.0,4
-61.0,-67.0,-59.0,-58.0,-76.0,-60.0,-67.0,-47.0,4
-59.0,-68.0,-56.0,-57.0,-67.0,-51.0,-60.0,-45.0,4
-58.0,-72.0,-59.0,-56.0,-70.0,-52.0,-65.0,-46.0,4
-59.0,-70.0,-57.0,-53.0,-65.0,-53.0,-64.0,-46.0,4
-59.0,-71.0,-59.0,-56.0,-68.0,-55.0,-65.0,-44.0,4
-61.0,-72.0,-58.0,-59.0,-72.0,-55.0,-61.0,-46.0,4
-58.0,-68.0,-60.0,-59.0,-65.0,-55.0,-61.0,-44.0,4
-61.0,-73.0,-60.0,-57.0,-71.0,-54.0,-58.0,-45.0,4
-58.0,-71.0,-58.0,-57.0,-71.0,-53.0,-61.0,-45.0,4
-59.0,-73.0,-57.0,-57.0,-72.0,-52.0,-59.0,-46.0,4
-59.0,-69.0,-60.0,-57.0,-78.0,-52.0,-61.0,-43.0,4
-77.0,-70.0,-60.0,-64.0,-62.0,-61.0,-51.0,-56.0,4
-65.0,-81.0,-59.0,-62.0,-66.0,-62.0,-50.0,-50.0,4
-73.0,-73.0,-61.0,-63.0,-65.0,-62.0,-51.0,-51.0,4
-70.0,-74.0,-58.0,-65.0,-64.0,-61.0,-51.0,-48.0,4
-73.0,-70.0,-60.0,-66.0,-64.0,-62.0,-49.0,-52.0,4
-67.0,-73.0,-61.0,-65.0,-62.0,-62.0,-50.0,-54.0,4
-69.0,-73.0,-59.0,-66.0,-60.0,-56.0,-53.0,-46.0,4
-68.0,-72.0,-65.0,-64.0,-60.0,-65.0,-51.0,-54.0,4
-72.0,-72.0,-62.0,-64.0,-59.0,-66.0,-50.0,-51.0,4
-71.0,-80.0,-60.0,-65.0,-65.0,-60.0,-51.0,-46.0,4
-68.0,-69.0,-62.0,-64.0,-60.0,-72.0,-50.0,-52.0,4
-67.0,-71.0,-63.0,-65.0,-61.0,-59.0,-50.0,-48.0,4
-67.0,-67.0,-63.0,-64.0,-63.0,-60.0,-51.0,-52.0,4
-67.0,-68.0,-64.0,-64.0,-58.0,-58.0,-50.0,-51.0,4
-69.0,-66.0,-65.0,-66.0,-63.0,-59.0,-49.0,-53.0,4
-68.0,-67.0,-59.0,-66.0,-62.0,-64.0,-51.0,-50.0,4
-66.0,-68.0,-64.0,-64.0,-60.0,-64.0,-50.0,-52.0,4
-56.0,-55.0,-63.0,-67.0,-63.0,-64.0,-51.0,-52.0,4
-60.0,-59.0,-65.0,-71.0,-69.0,-54.0,-53.0,-47.0,4
-59.0,-60.0,-65.0,-66.0,-56.0,-62.0,-52.0,-48.0,4
