AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,Class
-68,-70,-59,-65,-68,-58,-57,-62,5
-65,-71,-56,-64,-61,-58,-56,-54,5
-66,-68,-57,-57,-61,-59,-56,-59,5
-65,-69,-57,-60,-61,-56,-56,-60,5
-63,-69,-58,-61,-61,-52,-56,-56,5
-68,-71,-59,-58,-60,-56,-54,-54,5
-67,-69,-57,-58,-59,-58,-56,-58,5
-63,-74,-59,-58,-60,-58,-57,-59,5
-64,-64,-64,-70,-65,-57,-57,-57,5
-59,-63,-64,-70,-65,-60,-53,-60,5
-59,-64,-66,-67,-65,-59,-57,-59,5
-57,-65,-63,-68,-68,-55,-55,-57,5
-58,-64,-65,-72,-67,-61,-53,-58,5
-59,-66,-65,-71,-65,-57,-57,-57,5
-59,-66,-63,-71,-65,-59,-54,-55,5
-58,-66,-63,-68,-66,-60,-57,-59,5
-59,-66,-64,-71,-65,-58,-54,-62,5
-59,-62,-64,-69,-63,-60,-54,-56,5
-57,-65,-65,-71,-64,-58,-53,-57,5
-67,-59,-56,-68,-64,-63,-60,-58,6
-60,-56,-60,-60,-64,-61,-60,-58,6
-63,-56,-57,-65,-65,-62,-59,-60,6
-62,-57,-56,-65,-65,-62,-60,-58,6
-63,-73,-57,-59,-64,-57,-59,-59,6
-63,-66,-55,-60,-65,-60,-60,-59,6
-64,-64,-55,-61,-62,-63,-59,-58,6
-64,-67,-55,-60,-63,-64,-58,-59,6
-64,-65,-56,-66,-67,-64,-58,-59,6
-61,-66,-55,-59,-65,-62,-58,-60,6
-62,-68,-57,-59,-63,-60,-59,-59,6
-63,-59,-56,-59,-64,-63,-60,-60,6
-62,-60,-56,-57,-64,-63,-57,-58,6
-59,-56,-63,-66,-59,-64,-63,-54,6
-57,-57,-64,-66,-59,-65,-67,-50,6
-58,-56,-66,-66,-59,-64,-64,-53,6
-57,-55,-60,-66,-61,-65,-63,-55,6
-58,-55,-63,-64,-61,-64,-62,-53,6
-57,-56,-64,-66,-62,-65,-64,-54,6
-57,-56,-60,-68,-60,-61,-63,-55,6
-57,-56,-64,-65,-57,-66,-61,-51,6
-57,-56,-66,-64,-59,-63,-65,-52,6
-56,-56,-65,-64,-60,-63,-64,-54,6
-58,-56,-64,-65,-59,-65,-64,-54,6
-56,-57,-62,-64,-59,-63,-66,-52,6
-57,-56,-63,-63,-58,-64,-67,-54,6
-67,-58,-57,-58,-58,-59,-57,-60,6
-69,-58,-59,-58,-59,-58,-56,-59,6
-67,-58,-59,-62,-57,-60,-55,-58,6
-62,-58,-60,-60,-58,-59,-56,-58,6
-67,-56,-61,-58,-58,-61,-56,-57,6
-62,-57,-57,-60,-60,-62,-54,-59,6
-66,-56,-57,-59,-59,-59,-54,-57,6
-67,-57,-58,-66,-60,-61,-56,-58,6
-66,-57,-58,-58,-60,-62,-55,-54,6
-67,-58,-57,-58,-59,-59,-54,-57,6
-68,-57,-57,-60,-60,-55,-55,-58,6
-66,-57,-59,-61,-60,-62,-55,-56,6
-65,-58,-59,-60,-60,-61,-56,-57,6
-66,-58,-58,-59,-60,-57,-59,-57,6
-70,-58,-55,-55,-59,-61,-58,-52,6
-68,-56,-58,-58,-58,-60,-53,-56,6
-67,-59,-61,-57,-57,-62,-56,-59,6
-67,-60,-59,-58,-60,-60,-55,-59,6
-66,-67,-60,-58,-57,-55,-56,-58,6
-60,-48,-61,-70,-60,-62,-67,-55,6
-61,-48,-62,-70,-59,-59,-66,-56,6
-57,-47,-62,-70,-60,-63,-68,-55,6
-63,-45,-59,-72,-62,-60,-68,-53,6
-69,-48,-63,-67,-62,-59,-70,-55,6
-60,-57,-59,-54,-59,-63,-58,-67,7
-57,-57,-59,-55,-62,-58,-57,-68,7
-59,-58,-59,-57,-61,-62,-58,-68,7
-61,-57,-60,-54,-61,-64,-57,-67,7
-59,-56,-56,-53,-59,-62,-58,-63,7
-57,-56,-57,-52,-57,-62,-56,-65,7
-59,-58,-58,-56,-59,-64,-57,-69,7
-58,-57,-60,-55,-60,-63,-55,-67,7
-56,-57,-58,-55,-59,-59,-57,-68,7
-58,-57,-60,-56,-60,-60,-56,-72,7
-59,-58,-60,-54,-60,-63,-57,-63,7
